italian,french,indian,mexican,british,moroccan,southern_us,chinese,spanish,japanese,cajun_creole,korean,filipino,greek,thai,jamaican,irish,russian,brazilian,vietnamese
4680,435,6,60,94,9,360,5,113,4,45,0,2,108,3,1,12,3,1,0
307,1127,3,13,76,8,314,2,65,5,34,0,3,29,0,0,11,4,1,2
14,16,1956,22,20,41,99,8,4,16,3,0,3,18,29,2,2,7,3,1
61,34,38,4204,13,12,274,6,48,11,37,0,9,7,7,6,3,0,10,2
19,97,9,2,237,0,182,1,6,3,6,0,4,2,0,1,24,0,1,0
17,16,47,5,10,445,29,0,13,4,2,0,0,16,1,2,1,3,1,0
132,60,25,106,32,4,2477,14,44,11,275,0,14,6,4,6,4,5,2,0
6,8,11,10,15,0,63,1658,2,88,2,22,26,2,36,4,2,3,1,17
110,66,2,50,16,8,72,1,362,2,30,0,1,13,2,0,3,0,1,1
9,11,79,5,8,0,65,114,1,742,0,17,3,3,16,1,3,0,1,2
52,27,5,32,21,2,176,1,8,2,814,0,0,5,1,0,2,3,1,0
4,1,1,3,0,0,19,87,0,45,0,445,2,0,2,0,2,0,0,4
22,7,6,11,7,0,88,86,6,13,2,3,297,0,16,0,0,0,3,3
125,41,11,8,16,20,43,0,12,0,11,0,1,618,0,0,1,1,0,0
1,0,37,7,0,1,28,86,0,22,1,5,16,2,887,1,0,0,2,49
7,3,21,13,5,0,75,5,3,4,17,0,8,0,5,236,0,1,5,0
17,55,2,4,30,5,156,1,3,1,8,0,3,7,0,0,207,2,1,0
17,47,5,12,35,3,91,0,7,8,9,0,4,7,0,0,7,107,1,0
22,7,15,32,3,1,82,1,24,3,29,1,2,2,13,2,1,1,108,0
4,2,3,5,1,0,22,71,1,26,1,6,30,0,126,0,0,0,2,307
